"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","From Pass","To Pass","From Start Lat (deg)","From Start Lon (deg)","From Start Alt (km)","From Stop Lat (deg)","From Stop Lon (deg)","From Stop Alt (km)","To Start Lat (deg)","To Start Lon (deg)","To Start Alt (km)","To Stop Lat (deg)","To Stop Lon (deg)","To Stop Alt (km)","From Pass End","To Pass End","To Object","From Object","To Parent","From Parent"
30 Jan 2024 10:35:32.270,30 Jan 2024 10:47:38.615,726.345,"147","N/A",62.018,-108.054,566.648202,16.468,-111.089,551.706018,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"147","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
30 Jan 2024 12:14:08.244,30 Jan 2024 12:18:14.043,245.799,"148","N/A",51.452,-132.772,563.040391,36.051,-133.799,557.368270,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"148","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
30 Jan 2024 21:19:51.221,30 Jan 2024 21:30:42.005,650.784,"154","N/A",19.936,-89.574,552.469053,60.741,-92.294,566.245561,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"154","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
30 Jan 2024 22:54:52.366,30 Jan 2024 23:06:32.544,700.178,"155","N/A",17.056,-113.394,551.826572,60.968,-116.320,566.318119,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"155","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
31 Jan 2024 08:57:33.286,31 Jan 2024 09:07:12.510,579.224,"161","N/A",57.990,-84.477,565.342312,21.668,-86.897,552.895708,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"161","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
31 Jan 2024 10:32:15.823,31 Jan 2024 10:44:21.467,725.644,"162","N/A",62.009,-108.219,566.645424,16.503,-111.251,551.713099,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"162","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
31 Jan 2024 12:10:56.419,31 Jan 2024 12:14:51.093,234.674,"163","N/A",51.154,-132.956,562.931623,36.450,-133.936,557.510003,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"163","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
31 Jan 2024 21:16:33.190,31 Jan 2024 21:27:26.035,652.845,"169","N/A",19.846,-89.733,552.447530,60.779,-92.460,566.257924,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"169","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
31 Jan 2024 22:51:36.575,31 Jan 2024 23:03:15.409,698.833,"170","N/A",17.107,-113.562,551.837065,60.934,-116.482,566.307294,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"170","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
1 Feb 2024 08:54:15.420,1 Feb 2024 09:03:57.881,582.462,"176","N/A",58.070,-84.636,565.369124,21.545,-87.070,552.864331,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"176","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
1 Feb 2024 10:28:59.387,1 Feb 2024 10:41:04.305,724.918,"177","N/A",62.000,-108.384,566.642427,16.539,-111.413,551.720375,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"177","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
1 Feb 2024 12:07:44.897,1 Feb 2024 12:11:27.835,222.938,"178","N/A",50.837,-133.141,562.815661,36.868,-134.073,557.659240,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"178","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
